CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
452,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7520.289,2636.69,7969.120453326138,0,0.0
453,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7524.28,2624.313,7968.802183538565,0,0.0
454,HHO,mmecHost[5],20,0,20,1.779849672695226E9,2.0E9,8.896836284221103E10,1.0E11,1017.8231163162037,3000.0,1000000.0,6240.579139362918,8500.636257132912,7528.321,2611.76,6028.029750379537,0,0.0
455,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7458.6,2801.21,7967.2762864168335,0,0.0
456,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7462.965,2788.572,7966.93042459949,0,0.0
457,HHO,mmecHost[4],20,0,20,1.524391984569999E9,2.0E9,6.81434987061737E10,1.0E11,2123.3823739069403,3000.0,1000000.0,5971.305173777478,5368.592267020873,7467.226,2776.325,2992.929785677262,0,0.0
458,HHO,mmecHost[1],20,0,20,1.3405891878155684E9,2.0E9,7.937853921252527E10,1.0E11,2632.0752933725003,3000.0,1000000.0,2924.108237733241,8129.87407049067,7471.913,2764.122,7033.763106450993,0,0.0
459,HHO,mmecHost[1],20,0,20,1.4402717664606166E9,2.0E9,7.274309267939499E10,1.0E11,1335.636506182599,3000.0,1000000.0,2924.108237733241,8129.87407049067,7477.1,2752.083,7046.301922648373,0,0.0
460,HHO,mmecHost[17],20,0,20,9.41397074751497E8,2.0E9,7.016860610867209E10,1.0E11,2083.5868219135964,3000.0,1000000.0,9053.012569986427,2243.6127535568858,7481.928,2740.051,1647.6521655315944,0,0.0
461,HHO,mmecHost[8],20,0,20,1.3227321565103867E9,2.0E9,8.809543814251587E10,1.0E11,1963.9871190765857,3000.0,1000000.0,5821.80582306546,7488.360208027685,7486.783,2727.936,5043.192207331476,0,0.0
462,HHO,mmecHost[4],20,0,20,1.7868899491022184E9,2.0E9,7.424583006585056E10,1.0E11,2579.459783683997,3000.0,1000000.0,5971.305173777478,5368.592267020873,7492.055,2715.446,3058.0819394127793,0,0.0
463,HHO,mmecHost[6],20,0,20,1.6526908932140312E9,2.0E9,8.26483358874398E10,1.0E11,2486.1605603040284,3000.0,1000000.0,9950.155382835163,6874.901660201538,7496.972,2702.83,4839.86473443994,0,0.0
464,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7501.685,2690.731,7969.649374570126,0,0.0
465,HHO,mmecHost[4],20,0,20,1.1186116912079206E9,2.0E9,6.670276368663339E10,1.0E11,1858.7629543479131,3000.0,1000000.0,5971.305173777478,5368.592267020873,7506.367,2678.245,3097.48014158159,0,0.0
466,HHO,mmecHost[13],20,0,20,1.7569445990174398E9,2.0E9,6.444215455092547E10,1.0E11,2680.4786927376126,3000.0,1000000.0,2282.0106838727456,8636.444637469127,7510.666,2665.414,7936.752691652976,0,0.0
467,HHO,mmecHost[17],20,0,20,9.969132664387894E8,2.0E9,7.617354273367334E10,1.0E11,1885.8968193440428,3000.0,1000000.0,9053.012569986427,2243.6127535568858,7514.853,2652.914,1591.6853875941433,0,0.0
468,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7519.036,2640.431,7969.176760184015,0,0.0
469,HHO,mmecHost[1],20,0,20,1.5348627965118132E9,2.0E9,6.306355452583679E10,1.0E11,2514.900582758724,3000.0,1000000.0,2924.108237733241,8129.87407049067,7523.069,2628.077,7170.788736096537,0,0.0
470,HHO,mmecHost[8],20,0,20,1.5040202522782037E9,2.0E9,7.6090815166089E10,1.0E11,1843.665814994601,3000.0,1000000.0,5821.80582306546,7488.360208027685,7527.112,2615.514,5162.625235689773,0,0.0
471,HHO,mmecHost[14],20,0,20,1.6716163213933969E9,2.0E9,7.689403315889893E10,1.0E11,2587.826414771646,3000.0,1000000.0,9397.062908458529,6086.927600432497,7530.0,2605.0,3950.916820029906,0,0.0
472,HHO,mmecHost[17],20,0,20,1.54842256801802E9,2.0E9,8.102286642630945E10,1.0E11,1828.0187836127104,3000.0,1000000.0,9053.012569986427,2243.6127535568858,7457.315,2804.951,1691.5529438301426,0,0.0
